"","phylodist"
"Zaglossus_bartoni",337.092680267
"Zaglossus_bruijnii",337.09267866
"Zaglossus_attenboroughi",337.09267866
"Tachyglossus_aculeatus",337.092680268
"Ornithorhynchus_anatinus",337.092668208
"Solenodon_marcanoi",144.239402644
"Solenodon_cubanus",144.239402644
"Solenodon_paradoxus",144.239402884
"Uropsilus_investigator",144.239424266
"Uropsilus_soricipes",144.239424266
"Uropsilus_gracilis",144.239425228
"Uropsilus_andersoni",144.2394252277
"Uropsilus_aequodonenia",144.2394252277
"Talpa_caeca",144.2394134583
"Talpa_romana",144.2394134583
"Talpa_europaea",144.2394134583
"Talpa_occidentalis",144.2394134583
"Talpa_davidiana",144.239413939
"Talpa_stankovici",144.239413939
"Talpa_levantis",144.2394149
"Talpa_caucasica",144.2394149004
"Talpa_altaica",144.23941394
"Euroscaptor_subanura",144.23941384366
"Euroscaptor_mizura",144.23941384366
"Euroscaptor_micrura",144.2394137
"Euroscaptor_grandis",144.2394134582
"Mogera_etigo",144.2394129782
"Mogera_wogura",144.2394130748
"Mogera_robusta",144.2394130748
"Mogera_imaizumii",144.2394129782
"Mogera_tokudae",144.2394129782
"Mogera_kanoana",144.2394129782
"Mogera_uchidai",144.2394128343
"Mogera_insularis",144.2394128343
"Scaptochirus_moschatus",144.2394124982
"Euroscaptor_longirostris",144.2394134592
"Euroscaptor_klossi",144.2394134592
"Euroscaptor_parvidens",144.2394127372
"Parascaptor_leucura",144.2394127372
"Scaptonyx_fusicaudus",144.23941394
"Nesophontes_zamicrus",144.2394136993
"Nesophontes_hypomicrus",144.2394136995
"Nesophontes_edithae",144.2394136995
"Nesophontes_major",144.2394136995
"Nesophontes_micrus",144.2394141803
"Nesophontes_paramicrus",144.2394141803
"Dymecodon_pilirostris",144.239416342
"Urotrichus_talpoides",144.239416342
"Condylura_cristata",144.239413943
"Scapanulus_oweni",144.239412501
"Parascalops_breweri",144.239414904
"Scalopus_aquaticus",144.239412498
"Scapanus_townsendii",144.239412498
"Scapanus_orarius",144.239412498
"Scapanus_latimanus",144.239412498
"Neurotrichus_gibbsii",144.239412259
"Desmana_moschata",144.239412258
"Galemys_pyrenaicus",144.239412258
"Hylomys_megalotis",144.239399275
