model,rank,AUC,cutoff,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,CSI,ACC,J
connectance,12,0.84913139329806,0.8468468468468469,0.72,0.9259259259259259,0.9060402684563759,0.7692307692307693,0.28,0.07407407407407407,0.09395973154362416,0.23076923076923078,0.6699751861042184,0.8233731739707836,0.6459259259259258
connectance,11,0.8461331312312613,0.908908908908909,0.6844207723035952,0.9367588932806324,0.9145907473309609,0.75,0.3155792276964048,0.06324110671936758,0.08540925266903915,0.25,0.6433041301627034,0.8112582781456954,0.6211796655842277
connectance,17,0.8443019104157714,0.92992992992993,0.6921017402945113,0.9352708058124174,0.9134275618374559,0.7547974413646056,0.3078982597054886,0.06472919418758256,0.08657243816254417,0.24520255863539445,0.6494974874371859,0.8144946808510638,0.6273725461069288
connectance,8,0.8423188776325462,0.7057057057057057,0.7014725568942436,0.8952254641909815,0.8689883913764511,0.7516703786191536,0.29852744310575635,0.10477453580901856,0.1310116086235489,0.24832962138084633,0.6343825665859564,0.798800799467022,0.5966980210852251
hybrid,12,0.8416769641576299,0.7077077077077077,0.7032085561497327,0.8778220451527224,0.8511326860841424,0.7485843714609286,0.2967914438502674,0.12217795484727756,0.1488673139158576,0.25141562853907135,0.6261904761904762,0.7908061292471685,0.5810306013024551
connectance,14,0.8390733293402924,0.9029029029029029,0.7002688172043011,0.9297082228116711,0.9076655052264808,0.7586580086580087,0.29973118279569894,0.07029177718832891,0.09233449477351917,0.24134199134199133,0.6537013801756587,0.8157543391188251,0.6299770400159721
hybrid,11,0.8372227910373597,0.8208208208208209,0.6471371504660453,0.9189907038512616,0.8884826325411335,0.723092998955068,0.35286284953395475,0.08100929614873838,0.11151736745886655,0.2769070010449321,0.5985221674876847,0.7832446808510638,0.5661278543173069
connectance,5,0.8366704694359773,0.9319319319319319,0.6604527296937417,0.9403183023872679,0.9168207024029574,0.7354771784232366,0.3395472703062583,0.05968169761273209,0.08317929759704251,0.2645228215767635,0.6231155778894473,0.8006644518272426,0.6007710320810096
connectance,7,0.8366704077684795,0.948948948948949,0.655217965653897,0.9577836411609498,0.9393939393939394,0.7355623100303952,0.34478203434610305,0.04221635883905013,0.06060606060606061,0.26443768996960487,0.6286438529784537,0.8066006600660066,0.6130016068148469
connectance,16,0.835764217293292,0.9619619619619619,0.6675603217158177,0.9456233421750663,0.9239332096474954,0.7419354838709677,0.3324396782841823,0.054376657824933686,0.07606679035250463,0.25806451612903225,0.6327827191867853,0.8073333333333333,0.6131836638908839
connectance,10,0.8337175808189459,0.8638638638638638,0.6562922868741543,0.9276139410187667,0.8998144712430427,0.7315010570824524,0.34370771312584575,0.07238605898123325,0.10018552875695733,0.26849894291754756,0.6116015132408575,0.7925925925925926,0.583906227892921
connectance,4,0.8323156966490299,0.6836836836836837,0.688,0.9087301587301587,0.882051282051282,0.745928338762215,0.312,0.09126984126984126,0.11794871794871795,0.254071661237785,0.63003663003663,0.798804780876494,0.5967301587301588
hybrid,16,0.8318185085354897,0.7977977977977978,0.6495956873315364,0.9,0.8653500897666068,0.7219251336898396,0.3504043126684636,0.1,0.13464991023339318,0.27807486631016043,0.5899632802937577,0.7754691689008043,0.5495956873315364
connectance,9,0.8317487598210701,0.7807807807807807,0.6684636118598383,0.910904255319149,0.8809946714031972,0.7357679914070892,0.33153638814016173,0.08909574468085106,0.11900532859680284,0.26423200859291085,0.6131025957972805,0.7904953145917001,0.5793678671789873
connectance,13,0.8310641306330963,0.978978978978979,0.6710875331564987,0.9431216931216931,0.9216757741347905,0.7419354838709677,0.32891246684350134,0.056878306878306875,0.07832422586520947,0.25806451612903225,0.6348808030112923,0.8072847682119205,0.614209226278192
hybrid,8,0.8298081559798762,0.7827827827827828,0.6244952893674294,0.9157754010695187,0.8804554079696395,0.7105809128630706,0.3755047106325707,0.08422459893048129,0.11954459203036052,0.2894190871369295,0.575682382133995,0.7706237424547284,0.5402706904369481
hybrid,17,0.8292281444390878,0.9069069069069069,0.6218034993270525,0.933422103861518,0.90234375,0.7138492871690427,0.3781965006729475,0.06657789613848203,0.09765625,0.2861507128309572,0.5825977301387137,0.7784471218206158,0.5552256031885705
connectance,3,0.8268315304070454,0.8818818818818819,0.6679841897233202,0.9381578947368421,0.9151624548736462,0.738860103626943,0.33201581027667987,0.06184210526315789,0.08483754512635379,0.261139896373057,0.6290322580645161,0.8031599736668861,0.6061420844601622
hybrid,14,0.8267822298615727,0.7747747747747747,0.6473755047106325,0.8995983935742972,0.8651079136690647,0.7194860813704497,0.35262449528936746,0.10040160642570281,0.13489208633093525,0.28051391862955033,0.5880195599022005,0.7738255033557047,0.5469738982849297
degree,12,0.8258464867391714,0.914914914914915,0.5914552736982643,0.9204244031830239,0.8807157057654076,0.694,0.40854472630173566,0.07957559681697612,0.11928429423459244,0.306,0.5475896168108776,0.7564870259481038,0.5118796768812883
